iter	Passed	Remaining
0	1	486
1	3	449
2	4	438
3	5	427
4	6	407
5	8	405
6	9	403
7	10	399
8	13	442
9	15	437
10	16	426
11	17	427
12	19	424
13	20	412
14	21	409
15	22	399
16	24	403
17	25	402
18	27	402
19	29	411
20	30	408
21	32	405
22	33	401
23	34	396
24	35	393
25	37	390
26	38	388
27	39	383
28	40	379
29	41	375
30	43	373
31	44	376
32	46	374
33	47	372
34	48	369
35	50	367
36	51	365
37	52	365
38	54	364
39	55	362
40	57	361
41	59	367
42	61	368
43	62	366
44	64	362
45	65	362
46	67	362
47	68	361
48	70	359
49	71	357
50	73	356
51	75	359
52	76	358
53	78	357
54	79	355
55	81	354
56	82	353
57	84	351
58	85	349
59	87	348
60	88	347
61	91	349
62	92	348
63	94	347
64	95	345
65	97	344
66	98	343
67	99	340
68	101	339
69	102	337
70	104	336
71	106	337
72	108	336
73	109	334
74	111	333
75	112	331
76	113	330
77	115	328
78	116	327
79	118	325
80	120	325
81	122	324
82	123	323
83	125	321
84	126	320
85	128	318
86	129	317
87	131	315
88	132	314
89	133	311
90	136	313
91	138	312
92	139	310
93	141	309
94	142	307
95	144	306
96	145	304
97	147	303
98	148	301
99	150	301
100	153	301
101	154	299
102	155	297
103	157	296
104	158	294
105	159	292
106	160	290
107	161	287
108	163	286
109	165	285
110	166	283
111	168	283
112	169	281
113	171	279
114	173	278
115	174	277
116	176	275
117	177	273
118	179	272
119	180	270
120	181	269
121	184	268
122	185	266
123	186	265
124	187	263
125	189	261
126	190	259
127	191	257
128	192	255
129	193	253
130	194	251
131	196	249
132	197	248
133	199	247
134	200	245
135	202	243
136	203	242
137	204	240
138	206	238
139	207	237
140	209	235
141	210	234
142	211	232
143	213	231
144	215	230
145	216	228
146	217	226
147	219	225
148	220	223
149	221	221
150	222	219
151	224	218
152	225	216
153	226	214
154	227	212
155	229	211
156	231	210
157	232	208
158	233	207
159	235	205
160	236	203
161	237	202
162	238	200
163	239	198
164	240	197
165	242	195
166	243	193
167	244	192
168	246	191
169	247	189
170	248	187
171	250	186
172	251	184
173	252	183
174	254	181
175	255	180
176	257	178
177	258	177
178	259	175
179	261	174
180	262	172
181	264	171
182	265	169
183	266	168
184	268	166
185	269	165
186	270	163
187	272	162
188	273	160
189	274	159
190	277	158
191	278	156
192	279	155
193	280	153
194	282	151
195	283	150
196	284	148
197	285	147
198	287	145
199	288	144
200	289	142
201	291	141
202	293	140
203	294	138
204	295	137
205	296	135
206	298	134
207	299	132
208	300	131
209	302	129
210	303	128
211	305	126
212	306	125
213	308	123
214	309	122
215	311	120
216	312	119
217	313	117
218	314	116
219	316	114
220	317	113
221	318	112
222	320	110
223	321	109
224	323	107
225	324	106
226	326	104
227	327	103
228	328	101
229	330	100
230	331	98
231	332	97
232	334	96
233	335	94
234	336	93
235	338	91
236	340	90
237	341	88
238	342	87
239	344	86
240	345	84
241	346	83
242	347	81
243	349	80
244	350	78
245	351	77
246	353	75
247	354	74
248	356	72
249	357	71
250	359	70
251	360	68
252	361	67
253	362	65
254	364	64
255	365	62
256	367	61
257	368	59
258	370	58
259	372	57
260	373	55
261	374	54
262	376	52
263	377	51
264	378	50
265	380	48
266	381	47
267	383	45
268	384	44
269	387	43
270	388	41
271	389	40
272	391	38
273	392	37
274	393	35
275	394	34
276	396	32
277	398	31
278	399	30
279	401	28
280	402	27
281	404	25
282	405	24
283	406	22
284	407	21
285	409	20
286	410	18
287	412	17
288	413	15
289	415	14
290	416	12
291	418	11
292	419	10
293	420	8
294	422	7
295	423	5
296	424	4
297	426	2
298	427	1
299	428	0
